Asset ID,Asset No.,Date,Time(CDT),Speed(MPH),Heading,Log Reason,Distance Traveled(Miles),Lat,Lon,Zone,Address,Odometer,EXSID,Acceleration(Miles/Hour/Sec),Status Mask,Fuel Counter(Gallon),Air Temperature,Average RPM,Average Load,Fuel Level,Outside Pressure,Peak RPM,Average Torque,Boost Pressure,FFilter Dpressure,AFilter Dpressure,DPF Dpressure,Regen Status
304,422,2018-05-21,1526920120,0,257.78,Motion Stop,0,38.9761349,-92.314185,,,6696.7,,-8,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
304,422,2018-05-21,1526920124,9.8,281.08,Motion Start,0,38.9761399,-92.3142672,,,6696.7,,31,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
223,454,2018-05-21,1526920129,0,4.34,Motion Stop,0,38.9638478,-92.3211144,,,6615.62,,-16,42015,0.00,0,0,0,0,0,0,0,0,0,0,0,0
273,555,2018-05-21,1526920135,47.3,293.14,Standard,0,38.9484267,-92.3066475,,,17224.38,,0,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
223,454,2018-05-21,1526920137,8.7,64.73,Motion Start,0,38.9639029,-92.3210145,,,6615.62,,11,42015,0.00,0,0,0,0,0,0,0,0,0,0,0,0
280,369,2018-05-21,1526920141,6.4,143.47,Motion Start,0,38.9498433,-92.3108687,,,12411.28,,19,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
304,422,2018-05-21,1526920141,0,357.03,Motion Stop,0,38.9764389,-92.3145887,,,6696.74,,-5,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
273,555,2018-05-21,1526920153,15.2,293.65,Standard,0.2,38.9493143,-92.3097519,,,17224.55,,-17,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
272,541,2018-05-21,1526920153,4.9,280.35,Motion Start,0,38.9539698,-92.2909805,,,25067.4,,19,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
223,454,2018-05-21,1526920157,32.9,90.78,Standard,0.2,38.9639133,-92.3178555,,,6615.81,,-10,40991,0.00,0,0,0,0,0,0,0,0,0,0,0,0
289,492,2018-05-21,1526920158,6.7,246.71,Motion Start,0,38.9611832,-92.3745372,,,14041.33,,18,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
273,555,2018-05-21,1526920158,0,299.69,Motion Stop,0.2,38.9493325,-92.3098227,,,17224.56,,-10,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
280,369,2018-05-21,1526920159,34.6,112.24,Standard,0.1,38.948975,-92.3090328,,,12411.4,,4,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
272,541,2018-05-21,1526920172,0,19.54,Motion Stop,0,38.9541247,-92.2915106,,,25067.43,,0,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
223,454,2018-05-21,1526920175,6.8,105.61,Standard,0.2,38.9634997,-92.3173122,,,6615.85,,-2,40991,0.00,0,0,0,0,0,0,0,0,0,0,0,0
289,492,2018-05-21,1526920176,10.6,204.32,Standard,0.1,38.9606773,-92.3752109,,,14041.38,,-5,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
272,541,2018-05-21,1526920178,3.1,216.58,Motion Start,0,38.9540967,-92.2915315,,,25067.43,,15,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
273,555,2018-05-21,1526920181,8.2,284.92,Motion Start,0.2,38.9493392,-92.3098861,,,17224.56,,24,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
223,454,2018-05-21,1526920182,0,115.20,Motion Stop,0.2,38.963441,-92.3171202,,,6615.85,,-9,42015,0.00,0,0,0,0,0,0,0,0,0,0,0,0
289,492,2018-05-21,1526920187,0,187.08,Motion Stop,0.1,38.9604093,-92.3751924,,,14041.4,,-9,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
304,422,2018-05-21,1526920192,9,2.17,Motion Start,0,38.9764776,-92.3145794,,,6696.74,,22,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
223,454,2018-05-21,1526920192,0,115.20,Power Off,0.2,38.9634404,-92.3171183,,,6615.87,,0,32799,0.00,0,0,0,0,0,0,0,0,0,0,0,0
280,369,2018-05-21,1526920194,33.5,106.38,Standard,0.5,38.9471723,-92.3025729,,,12411.77,,-5,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
272,541,2018-05-21,1526920196,11.1,101.44,Standard,0.1,38.9539002,-92.2904555,,,25067.49,,-6,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
244,562,2018-05-21,1526920199,3.1,0.00,Motion Start,0,38.9494729,-92.4047869,,,25929.76,,0,42015,0.00,0,0,0,0,0,0,0,0,0,0,0,0
273,555,2018-05-21,1526920199,37.2,325.55,Standard,0.3,38.9506915,-92.311611,,,17224.7,,3,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
280,369,2018-05-21,1526920212,11.2,95.40,Standard,0.6,38.9469079,-92.3000603,,,12411.9,,-15,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
272,541,2018-05-21,1526920214,37.6,199.55,Standard,0.2,38.9523806,-92.2903491,,,25067.6,,6,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
