"Asset ID","Asset No.",Date,Time(CDT),Speed(MPH),Heading,"Log Reason","Distance Traveled(Miles)",Lat,Lon,Zone,Address,Odometer,EXSID,Acceleration(Miles/Hour/Sec),"Status Mask","Fuel Counter(Gallon)","Air Temperature","Average RPM","Average Load","Fuel Level","Outside Pressure","Peak RPM","Average Torque","Boost Pressure","FFilter Dpressure","AFilter Dpressure","DPF Dpressure","Regen Status"
272,541,2018-05-21,1526920722,15.3,259.01,Standard,0,38.9640483,-92.3212375,,,25070.87,,-8,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
304,422,2018-05-21,1526920729,6.1,180.81,Standard,0,38.9712378,-92.313072,,,6699.03,,-23,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
304,422,2018-05-21,1526920731,0,177.76,"Motion Stop",0,38.9712219,-92.313072,,,6699.04,,-19,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
289,492,2018-05-21,1526920736,57.6,93.12,Standard,0,38.9687093,-92.3279182,,,14044.9,,-7,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
272,541,2018-05-21,1526920740,23.4,271.15,Standard,0.2,38.9641046,-92.324063,,,25071.03,,-10,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
304,422,2018-05-21,1526920743,10.9,136.46,"Motion Start",0,38.9711848,-92.3130439,,,6699.04,,27,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
272,541,2018-05-21,1526920749,0,271.57,"Motion Stop",0.2,38.9641116,-92.3245234,,,25071.05,,-8,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
289,492,2018-05-21,1526920754,32.8,160.79,Standard,0.2,38.9676244,-92.3247809,,,14045.1,,5,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
304,422,2018-05-21,1526920761,39.6,63.73,Standard,0.2,38.9715083,-92.3098419,,,6699.22,,0,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
289,492,2018-05-21,1526920772,11.8,179.92,Standard,0.4,38.9651933,-92.3246861,,,14045.26,,-22,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
289,492,2018-05-21,1526920776,0,176.87,"Motion Stop",0.4,38.9651355,-92.3246837,,,14045.26,,-8,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
304,422,2018-05-21,1526920779,39.7,71.42,Standard,0.4,38.9718002,-92.3061191,,,6699.43,,-2,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
289,492,2018-05-21,1526920780,10,130.80,"Motion Start",0.4,38.9650995,-92.3246463,,,14045.27,,25,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
304,422,2018-05-21,1526920797,31.9,94.60,Standard,0.6,38.9732849,-92.3032364,,,6699.62,,-8,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
289,492,2018-05-21,1526920798,36.2,89.64,Standard,0.5,38.9650108,-92.3218416,,,14045.42,,3,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
304,422,2018-05-21,1526920804,0,108.37,"Motion Stop",0.6,38.9732186,-92.3027861,,,6699.64,,-11,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
272,541,2018-05-21,1526920809,9.1,270.80,"Motion Start",0.2,38.964111,-92.3245773,,,25071.05,,19,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
289,492,2018-05-21,1526920817,25.5,90.90,Standard,0.7,38.964976,-92.3187977,,,14045.59,,-4,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
272,541,2018-05-21,1526920833,33.8,271.62,Standard,0.4,38.9641538,-92.3284878,,,25071.27,,0,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
289,492,2018-05-21,1526920835,4.1,176.47,Standard,0.8,38.9640869,-92.318339,,,14045.67,,-19,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
289,492,2018-05-21,1526920837,0,174.24,"Motion Stop",0.8,38.9640844,-92.3183326,,,14045.67,,-13,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
304,422,2018-05-21,1526920851,10,107.38,"Motion Start",0.6,38.9732101,-92.3027447,,,6699.64,,21,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
272,541,2018-05-21,1526920851,8.8,8.21,Standard,0.5,38.9645339,-92.3296722,,,25071.35,,0,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
272,541,2018-05-21,1526920855,0,7.82,"Motion Stop",0.5,38.9646033,-92.3296591,,,25071.35,,-6,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
280,369,2018-05-21,1526920859,0,260.13,"Power On",0,38.947919,-92.3000732,,,12412.06,,0,8223,0.00,0,0,0,0,0,0,0,0,0,0,0,0
280,369,2018-05-21,1526920860,1.9,282.02,"Motion Start",0,38.9479004,-92.3000675,,,12412.06,,0,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
280,369,2018-05-21,1526920863,0,279.80,"Motion Stop",0,38.9479094,-92.3000628,,,12412.06,,-1,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
272,541,2018-05-21,1526920863,0,7.82,"Power Off",0.5,38.9646059,-92.3296591,,,25071.35,,0,31,0.00,0,0,0,0,0,0,0,0,0,0,0,0
280,369,2018-05-21,1526920866,5.2,21.24,"Motion Start",0,38.9479204,-92.3000529,,,12412.06,,16,9247,0.00,0,0,0,0,0,0,0,0,0,0,0,0
